XMJYAUZ;MZJAWXU
the quick brown fox;the fast brown dogs
ATZUXOQUZZKOFQOLFY;GNWBZJVLGBVBIFISG
LCGZJTNSQQOVGBRRB;PRGWAJBUKIDUYZIWCPA
ZRUVELFEJONROPOYL;VSSBJDCJWKK
LUTIOKOADJQLEULJ;SNHBCQDONDFJFV
SECIYOWDNKFYVHYV;ZZAELKRIZNYJUJ
QGPVCRSWHOEXQJECZRLPIJ;MMVCFFZADNVPFKVZMVK
VDROIEYNWT;ZPOXQMPROB
VHAHWZQIOUCPOHOBHYQBDZ;XXEXQBWWVHBUFPYOERPHHV
XYITQYPDKU;NHGFUEXSQMEVLVZA
TOBCUSFABKNQXHYVXVGS;LSSWZIOZSFSIC
TZDGJWGYDHGHKEGDFZZZS;XUVMIOHQBGR
YKVSZDFXDRAYPMYAOL;OWEARFCMWIXFAAU
thisisatest;testing123testing
HIGJUDMLNSI;DUGOAGEUIQMMLSUOTBEA
TJPZBJKUZMKXTOWNSMJQ;FASTXHXOSYIGXU
BIDOIADMSFLRRMPUV;BMIFIQKVGWSL
GXKPPPORADAYHAGLOKTE;RMXWCSPFZRMYQK
EGFPVMLPOMYEPSPYBEOLB;UVWZDCCQYJGYRT
hello world mordor;lord of the rings
