RIGHT; 4; 4 0 2 0|0 0 0 8|4 0 2 4|2 4 2 2
UP; 4; 2 0 2 0|0 2 0 4|2 8 0 8|0 8 0 16
DOWN; 8; 2 2 0 0 0 64 4 0|0 8 2 0 0 0 2 4|2 0 0 4 2 2 0 0|0 4 0 2 0 8 16 0|2 0 2 2 0 0 0 2|0 0 0 2 2 4 4 2|0 8 0 0 2 2 2 16|2 0 2 4 4 2 2 2
UP; 5; 2 4 0 0 4|2 4 2 4 8|4 2 0 0 0|2 2 2 16 0|4 2 0 0 8
RIGHT; 10; 0 0 0 64 2 2 0 0 0 0|4 4 0 4 0 8 8 2 0 0|0 0 16 4 64 0 0 0 0 4|2 0 0 2 0 2 0 4 4 0|2 4 0 2 2 0 2 4 0 2|0 8 2 0 0 0 0 2 0 0|0 0 2 2 16 4 32 8 2 0|8 4 0 8 0 0 2 8 0 0|4 4 2 2 2 2 4 8 0 2|0 4 4 4 8 2 2 0 32 0
UP; 4; 0 0 0 8|8 4 2 0|2 0 2 2|32 2 4 2
UP; 10; 0 0 4 4 0 8 2 4 4 2|4 4 16 0 0 2 4 2 0 8|0 4 4 4 2 0 0 0 0 0|4 2 0 4 0 4 0 32 2 4|4 2 16 16 0 0 4 2 0 2|0 16 2 2 0 0 0 0 0 0|0 2 32 4 4 16 0 2 2 8|0 0 16 8 2 4 0 8 0 16|4 2 0 0 16 8 4 4 0 2|2 32 4 0 16 2 2 32 2 4
RIGHT; 9; 4 0 32 8 0 4 2 0 16|0 0 32 4 0 32 8 0 2|2 2 32 2 4 2 0 4 16|2 2 8 4 2 0 0 4 2|2 4 2 16 0 0 0 2 2|2 2 16 2 2 2 0 0 8|0 2 0 0 0 2 2 2 2|2 0 0 4 4 2 2 2 4|0 2 0 2 0 0 0 0 2
LEFT; 4; 0 0 4 16|32 8 32 8|4 4 0 0|8 2 16 2
UP; 5; 2 2 2 0 8|0 16 0 4 0|2 8 2 0 0|0 0 4 4 4|4 4 0 2 2
UP; 7; 4 0 2 0 0 8 0|0 2 0 0 8 0 4|16 0 0 0 8 2 0|0 4 16 8 2 4 2|2 0 0 2 0 2 2|4 0 2 8 0 0 2|0 0 0 0 2 4 2
DOWN; 4; 16 0 2 0|8 0 0 2|0 4 0 2|2 0 4 2
LEFT; 7; 0 4 4 2 2 2 2|0 32 0 0 0 4 0|0 64 0 0 4 2 2|0 0 0 2 0 32 4|2 0 2 2 4 2 2|32 2 32 0 2 0 0|0 0 2 2 0 0 4
LEFT; 10; 2 0 8 32 2 2 4 8 0 0|0 0 0 0 2 0 2 2 8 4|0 2 2 2 8 2 0 2 0 4|0 4 2 2 0 4 0 2 0 0|0 2 0 2 8 4 8 4 4 4|2 8 2 16 2 4 0 64 0 0|2 0 2 0 2 4 4 16 0 2|2 4 0 0 2 8 8 32 4 2|2 0 0 64 4 2 0 0 16 0|2 2 0 8 0 2 64 2 8 0
DOWN; 8; 0 2 2 2 0 0 0 0|0 2 2 0 0 8 2 16|8 8 0 4 32 2 2 4|0 2 0 16 8 2 0 2|2 0 8 2 8 0 0 0|0 0 0 32 2 4 32 2|4 0 8 0 4 8 4 8|2 2 2 0 2 0 0 4
UP; 4; 2 0 0 2|2 0 0 8|2 0 0 0|0 0 8 0
LEFT; 5; 2 8 2 2 0|0 0 0 0 2|2 8 4 2 0|32 0 0 2 0|8 8 0 0 32
UP; 6; 0 64 0 4 2 0|2 0 0 2 0 0|8 0 0 2 0 0|4 0 2 32 4 2|0 16 2 0 4 0|4 0 0 0 2 2
RIGHT; 7; 0 0 4 0 0 4 2|0 32 0 2 0 2 2|4 0 2 2 0 0 2|0 2 8 2 0 0 0|16 2 0 0 32 0 0|0 2 0 2 2 8 4|2 4 0 0 2 4 2
LEFT; 7; 0 0 0 4 0 2 0|4 2 0 2 16 0 0|0 0 0 4 0 0 4|0 16 8 2 0 8 0|32 2 0 4 8 0 8|16 32 0 2 2 0 2|0 0 4 4 8 128 8
DOWN; 10; 0 2 2 0 64 2 16 2 0 8|2 0 0 0 4 0 8 2 2 2|2 8 4 0 0 0 0 0 2 4|0 4 16 2 0 4 2 0 2 8|0 4 0 0 0 2 0 0 2 4|0 0 2 4 2 4 4 0 0 0|0 0 0 2 0 0 16 2 4 16|16 256 2 0 8 4 2 0 0 2|4 2 2 8 0 2 4 0 8 8|2 8 4 0 2 4 4 0 4 0
LEFT; 4; 8 0 0 4|0 8 0 2|4 4 16 0|2 2 0 2
RIGHT; 5; 0 0 0 4 0|0 2 0 0 2|4 4 0 8 0|4 0 4 0 4|2 8 0 0 0
LEFT; 5; 8 8 0 0 2|2 8 8 2 8|2 4 0 0 8|0 0 0 0 0|0 4 0 2 2
RIGHT; 9; 0 0 0 4 0 2 32 2 4|0 16 0 0 2 0 0 0 4|256 0 0 0 2 4 8 0 16|4 4 0 4 0 4 0 0 4|0 0 0 2 2 0 0 4 2|2 0 4 16 2 0 2 0 2|0 8 4 0 8 4 4 0 0|0 0 0 0 4 0 0 0 0|0 0 0 2 2 0 2 2 0
DOWN; 10; 4 4 0 4 2 4 2 0 0 0|2 2 0 2 2 16 0 4 2 0|0 2 4 2 0 8 0 0 8 4|8 2 0 0 0 8 4 2 0 0|0 4 4 2 0 8 2 0 0 2|0 2 0 2 2 0 2 0 8 0|2 2 0 4 32 0 16 16 8 8|32 2 4 0 0 2 4 2 0 4|2 4 0 0 0 0 2 2 0 2|0 2 2 2 2 0 2 2 0 4
RIGHT; 8; 2 0 16 0 0 4 0 0|16 0 8 4 2 0 2 2|8 2 8 4 2 2 0 2|0 2 4 16 2 4 0 32|64 8 0 0 4 2 0 2|0 0 2 2 0 0 4 0|4 2 0 0 0 2 8 0|2 2 0 4 8 2 0 2
DOWN; 7; 0 2 0 8 0 4 0|4 2 4 2 2 32 0|8 4 4 32 0 4 2|2 0 0 0 4 0 2|8 0 0 4 0 4 0|2 2 16 2 2 0 4|0 2 8 0 8 0 0
UP; 8; 2 2 0 0 16 32 16 0|0 2 4 4 0 0 0 2|4 16 4 0 0 4 4 4|2 2 0 16 0 0 0 4|2 2 4 32 2 2 128 0|4 0 0 0 0 4 4 0|0 0 0 4 0 2 0 0|0 0 0 32 0 2 0 4
RIGHT; 9; 4 0 2 0 0 2 2 4 256|256 2 2 4 2 2 0 0 16|0 0 2 4 0 32 0 8 4|2 0 32 8 4 0 0 16 0|0 0 0 2 4 16 2 2 2|4 4 2 0 2 2 2 2 0|32 16 0 4 2 4 2 64 0|32 0 0 8 4 0 4 0 0|0 4 32 8 0 2 0 0 0
LEFT; 8; 2 0 0 0 0 2 4 2|4 0 0 16 0 2 16 2|2 0 4 0 2 0 8 8|0 4 2 0 8 0 2 2|4 8 2 2 2 16 2 0|8 2 2 2 8 0 16 4|2 0 2 0 2 32 0 2|16 0 2 2 2 2 4 4
RIGHT; 10; 2 0 4 8 4 4 2 0 4 4|0 0 2 0 2 0 0 0 8 4|256 4 0 0 2 0 0 8 8 16|64 0 2 0 0 2 0 2 2 4|0 0 2 0 32 0 8 2 2 2|2 8 2 0 2 4 4 0 0 0|0 4 0 4 2 0 128 0 2 8|0 0 0 2 2 2 0 2 0 32|0 2 4 4 2 2 0 0 0 0|0 2 2 0 2 2 2 0 0 4
UP; 8; 0 0 2 4 8 8 2 4|0 4 0 0 0 0 0 2|2 2 8 0 0 0 0 0|0 0 4 0 0 0 2 0|0 8 4 0 4 4 8 0|0 2 8 0 2 0 0 4|0 2 2 4 8 2 0 2|0 0 2 0 0 2 0 2
UP; 9; 2 0 0 2 2 8 0 0 0|0 0 0 4 0 2 32 2 64|2 2 4 0 2 2 0 0 2|2 2 4 0 0 0 0 0 2|0 2 0 2 2 0 0 4 0|4 2 4 0 2 2 2 2 0|64 4 8 2 0 4 4 0 0|2 2 4 2 64 2 4 0 256|2 2 16 2 2 4 2 2 0
UP; 5; 4 2 0 2 0|2 0 2 2 2|2 2 0 0 2|2 0 2 0 0|0 4 4 2 0
UP; 9; 0 2 2 2 4 0 0 2 2|2 0 0 0 4 4 0 2 8|4 4 0 0 0 2 0 2 2|2 0 32 0 2 0 0 2 2|2 2 0 8 4 2 4 2 2|2 0 4 0 4 0 0 0 2|0 0 0 2 0 2 0 0 0|4 8 32 0 8 0 0 0 2|0 4 2 0 0 0 0 2 0
RIGHT; 7; 2 8 0 0 2 0 4|2 0 0 2 2 0 2|2 0 4 4 0 4 0|0 0 2 0 8 4 0|2 2 0 0 8 2 0|0 0 0 0 2 16 2|0 0 8 0 2 0 0
LEFT; 7; 8 2 0 0 2 0 32|4 0 2 0 4 0 8|0 4 2 8 32 2 4|0 0 8 2 256 2 0|0 2 4 0 4 4 0|0 4 4 2 0 0 0|0 4 8 0 4 0 0
DOWN; 10; 0 0 0 4 0 4 2 8 4 4|16 0 0 2 2 0 8 8 4 8|2 0 0 0 4 8 0 8 4 0|2 2 8 8 8 0 2 4 8 8|0 0 4 0 8 0 0 16 0 8|0 2 2 0 0 4 0 0 16 2|0 2 2 2 0 0 2 0 8 16|2 0 16 2 2 0 8 64 0 2|4 0 2 0 0 2 0 2 2 2|2 0 2 32 16 2 2 0 2 0
DOWN; 7; 0 4 8 2 0 0 64|64 0 0 4 0 0 2|0 4 4 0 32 4 8|8 0 0 2 2 4 0|0 4 8 0 2 8 8|0 4 0 0 8 2 0|0 2 0 4 0 0 8
UP; 4; 2 0 2 4|8 32 0 4|0 4 0 0|2 0 32 2
RIGHT; 4; 0 8 2 2|0 0 2 0|0 16 0 2|4 2 4 4
